Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771876762853,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.911152362823486,25769803776,0,12607832064,0
200,1771876762854,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,50,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,4.911152362823486,25769803776,0,12608700416,0
202,1771876763054,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,10.526315689086914,5,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,4.911152362823486,25769803776,0,12608438272,0
201,1771876763257,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,9.523809432983398,0,0,0,0,5,5,0,0,0,0,0,0,4.911152362823486,25769803776,0,12608438272,0
200,1771876763460,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,47.619049072265625,50,9.523809432983398,0,0,0,40,30.000001907348633,0,0,0,0,0,4.761904716491699,4.911152362823486,25769803776,0,12598853632,0
203,1771876763661,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,80,0,0,0,0,66.66667175292969,35,0,0,0,0,0,0,4.911152362823486,25769803776,0,12611436544,0
204,1771876763865,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,63.15789031982422,65,0,0,0,0,55,61.904762268066406,0,0,0,0,0,0,4.964539051055908,25769803776,0,12729106432,0
199,1771876764070,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40.90909194946289,42.85714340209961,0,0,0,0,25,25,0,0,0,0,0,0,4.964539051055908,25769803776,0,12729925632,0
201,1771876764271,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,20,0,0,0,0,10,10,0,0,0,0,0,0,4.964539051055908,25769803776,0,12729974784,0
200,1771876764473,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,36.842105865478516,9.523809432983398,5,13.636363983154297,0,35,33.333335876464844,0,0,0,0,0,10,4.964539051055908,25769803776,0,12729597952,0
203,1771876764674,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,28.571430206298828,0,0,0,0,23.809524536132813,10,0,0,0,0,0,0,4.964539051055908,25769803776,0,12730007552,0
201,1771876764878,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,55,47.619049072265625,0,0,0,0,40,30.000001907348633,0,0,0,0,0,4.761904716491699,5.200351238250732,25769803776,0,12858474496,0
202,1771876765080,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,21.052631378173828,0,0,0,0,26.3157901763916,10,0,0,0,0,0,4.761904716491699,5.200351238250732,25769803776,0,12822069248,0
204,1771876765284,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,10,0,0,0,0,9.523809432983398,5,0,0,0,0,0,0,5.200351238250732,25769803776,0,12821970944,0
199,1771876765489,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,19.047618865966797,0,0,0,0,5,9.523809432983398,0,0,0,0,0,0,5.200351238250732,25769803776,0,12821921792,0
200,1771876765689,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,15.789472579956055,0,0,0,0,9.523809432983398,0,0,0,0,0,0,0,5.200351238250732,25769803776,0,12821430272,0
204,1771876765891,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,23.809524536132813,0,0,0,0,10,5,0,0,0,0,0,0,5.53252649307251,25769803776,0,12821463040,0
204,1771876766096,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,19.047618865966797,4.545454502105713,0,0,0,0,9.523809432983398,0,0,0,0,0,4.761904716491699,5.53252649307251,25769803776,0,12792692736,0
199,1771876766301,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,33.333335876464844,21.052631378173828,0,0,0,0,15.000000953674316,15.000000953674316,0,0,0,0,0,0,5.53252649307251,25769803776,0,12793282560,0
