Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771874634443,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,0,0,100,50,0,0,0,0,0,0,5.323301792144775,25769803776,0,12441272320,0
204,1771874634443,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,NaN,100,0,0,0,0,0,0,0,0,0,0,0,0,5.323301792144775,25769803776,0,12441272320,0
204,1771874634648,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,19.047618865966797,10,0,0,0,0,4.761904716491699,9.523809432983398,0,0,0,0,0,0,5.323301792144775,25769803776,0,12441272320,0
204,1771874634853,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,19.047618865966797,14.285715103149414,0,0,0,0,5,0,0,0,0,0,0,0,4.865419387817383,25769803776,0,12441272320,0
200,1771874635058,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,75,66.66667175292969,0,0,0,0,61.904762268066406,60.000003814697266,0,0,0,0,0,0,4.865419387817383,25769803776,0,12458852352,0
203,1771874635259,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,90,0,0,0,0,52.6315803527832,35,0,0,0,0,0,4.761904716491699,4.865419387817383,25769803776,0,12469944320,0
200,1771874635463,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,65,65,0,0,0,0,52.38095474243164,47.619049072265625,0,0,0,0,0,0,4.865419387817383,25769803776,0,12580749312,0
202,1771874635665,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,35,4.761904716491699,0,0,0,25,36.842105865478516,0,0,0,0,0,5,4.865419387817383,25769803776,0,12580749312,0
203,1771874635867,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,15.000000953674316,0,0,0,0,14.285715103149414,5,0,0,0,0,0,0,5.4030442237854,25769803776,0,12580749312,0
203,1771874636072,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,33.333335876464844,0,0,0,0,15.789472579956055,33.333335876464844,0,0,0,0,0,0,5.4030442237854,25769803776,0,12740624384,0
203,1771874636277,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,15.789472579956055,0,0,0,0,22.72727394104004,14.285715103149414,0,0,0,0,0,9.523809432983398,5.4030442237854,25769803776,0,12740820992,0
202,1771874636481,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,47.619049072265625,0,0,0,0,31.57894515991211,25,0,0,0,0,0,0,5.4030442237854,25769803776,0,12741378048,0
204,1771874636684,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,33.333335876464844,23.809524536132813,0,0,0,0,19.047618865966797,14.285715103149414,0,0,0,0,0,0,5.4030442237854,25769803776,0,12744376320,0
204,1771874636889,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,5.263157844543457,5.263157844543457,0,0,0,0,0,0,0,0,0,0,0,0,5.707607746124268,25769803776,0,12695257088,0
202,1771874637095,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,18.18181800842285,9.523809432983398,0,0,0,0,9.523809432983398,0,0,0,0,0,0,0,5.707607746124268,25769803776,0,12695060480,0
201,1771874637297,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,5,0,0,0,0,0,0,0,0,0,0,0,0,5.707607746124268,25769803776,0,12694126592,0
201,1771874637500,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,14.285715103149414,0,4.761904716491699,0,0,10,10,0,0,0,0,0,0,5.707607746124268,25769803776,0,12685443072,0
204,1771874637702,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,10,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,5.707607746124268,25769803776,0,12684951552,0
204,1771874637907,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,35,0,0,0,0,28.571430206298828,19.047618865966797,0,0,0,0,0,0,5.22034215927124,25769803776,0,12666830848,0
202,1771874638112,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,5,0,0,0,0,15.000000953674316,0,0,0,0,0,0,0,5.22034215927124,25769803776,0,12667158528,0
200,1771874638315,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,52.38095474243164,61.904762268066406,0,0,0,0,40,28.571430206298828,0,0,0,0,0,9.523809432983398,5.22034215927124,25769803776,0,12668207104,0
202,1771874638516,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,70,70,0,0,0,0,65,60.000003814697266,0,0,0,0,0,0,5.22034215927124,25769803776,0,12690849792,0
200,1771874638719,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,55,55,4.545454502105713,0,0,0,40,40,0,0,0,0,0,5,5.22034215927124,25769803776,0,12722274304,0
201,1771874638921,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,35,5,0,0,0,23.809524536132813,38.095237731933594,0,0,0,0,0,0,4.696885585784912,25769803776,0,12722274304,0
200,1771874639123,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,47.36842346191406,35,0,0,0,0,15.789472579956055,15.789472579956055,0,0,0,0,0,5,4.696885585784912,25769803776,0,12719505408,0
201,1771874639324,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,38.095237731933594,30.000001907348633,0,0,0,0,22.72727394104004,23.809524536132813,0,0,0,0,0,4.761904716491699,4.696885585784912,25769803776,0,12718604288,0
201,1771874639526,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,45,0,0,0,0,36.842105865478516,20,0,0,0,0,0,0,4.696885585784912,25769803776,0,12719357952,0
204,1771874639729,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,15.000000953674316,0,4.761904716491699,0,0,15.000000953674316,9.523809432983398,0,0,0,0,0,0,4.696885585784912,25769803776,0,12702613504,0
203,1771874639934,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,15.000000953674316,0,0,0,0,14.285715103149414,0,0,0,0,0,0,0,5.501099109649658,25769803776,0,12677758976,0
204,1771874640138,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,28.571430206298828,0,0,0,0,15.000000953674316,9.523809432983398,0,0,0,0,0,0,5.501099109649658,25769803776,0,12630638592,0
204,1771874640343,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,19.047618865966797,0,0,0,0,14.285715103149414,5,0,0,0,0,0,0,5.501099109649658,25769803776,0,12630392832,0
204,1771874640549,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,5.263157844543457,0,0,0,0,5,0,0,0,0,0,0,0,5.501099109649658,25769803776,0,12629622784,0
201,1771874640753,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.85714340209961,42.85714340209961,0,0,0,0,25,22.72727394104004,0,0,0,0,0,0,5.423947334289551,25769803776,0,12627001344,0
203,1771874640956,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,9.523809432983398,0,0,0,0,5,0,0,0,0,0,0,0,5.423947334289551,25769803776,0,12584108032,0
200,1771874641160,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,57.142860412597656,52.6315803527832,9.090909004211426,0,0,0,40,26.3157901763916,0,0,0,0,0,4.761904716491699,5.423947334289551,25769803776,0,12671795200,0
201,1771874641361,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,23.809524536132813,0,0,0,0,14.285715103149414,9.523809432983398,0,0,0,0,0,0,5.423947334289551,25769803776,0,12671877120,0
201,1771874641564,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,31.57894515991211,15.000000953674316,0,0,0,0,5.263157844543457,5.263157844543457,0,0,0,0,0,0,5.423947334289551,25769803776,0,12671664128,0
203,1771874641766,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,21.052631378173828,0,0,0,0,23.809524536132813,9.090909004211426,0,0,0,0,0,9.523809432983398,5.0631422996521,25769803776,0,12671664128,0
202,1771874641970,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,9.523809432983398,0,0,0,0,9.523809432983398,5,0,0,0,0,0,0,5.0631422996521,25769803776,0,12671664128,0
204,1771874642173,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,30.000001907348633,0,0,0,0,10,10,0,0,0,0,0,0,5.0631422996521,25769803776,0,12655575040,0
204,1771874642378,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,14.285715103149414,0,0,0,0,5,9.523809432983398,0,0,0,0,0,0,5.0631422996521,25769803776,0,12655689728,0
199,1771874642583,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.789472579956055,15.000000953674316,0,0,0,0,9.523809432983398,0,0,0,0,0,0,0,5.0631422996521,25769803776,0,12655525888,0
204,1771874642784,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,25,0,0,0,0,10,0,0,0,0,0,0,0,5.164180755615234,25769803776,0,12655460352,0
204,1771874642989,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,19.047618865966797,0,0,0,0,14.285715103149414,10,0,0,0,0,0,0,5.164180755615234,25769803776,0,12647120896,0
204,1771874643194,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,15.789472579956055,0,0,0,0,5.263157844543457,14.285715103149414,0,0,0,0,0,0,5.164180755615234,25769803776,0,12649807872,0
202,1771874643399,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,19.047618865966797,0,0,0,0,9.523809432983398,5,0,0,0,0,0,0,5.164180755615234,25769803776,0,12606685184,0
203,1771874643602,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,31.57894515991211,47.619049072265625,0,0,0,0,65,20,0,0,0,0,0,0,5.164180755615234,25769803776,0,12604588032,0
204,1771874643806,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,80,85,4.761904716491699,5,0,0,80.95238494873047,76.19047546386719,0,0,0,0,0,9.523809432983398,4.81678581237793,25769803776,0,12664012800,0
201,1771874644012,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,57.142860412597656,65,0,0,0,0,50,45,0,0,0,0,0,0,4.81678581237793,25769803776,0,12664012800,0
204,1771874644214,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,23.809524536132813,0,0,0,0,15.000000953674316,14.285715103149414,0,0,0,0,0,0,4.81678581237793,25769803776,0,12730597376,0
201,1771874644418,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,31.57894515991211,30.000001907348633,0,0,0,0,19.047618865966797,5,0,0,0,0,0,0,4.81678581237793,25769803776,0,12730646528,0
200,1771874644621,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,30.000001907348633,0,0,0,0,25,10,0,0,0,0,0,0,4.81678581237793,25769803776,0,12730712064,0
204,1771874644822,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,28.571430206298828,0,4.761904716491699,0,0,25,20,0,0,0,0,0,0,5.382080554962158,25769803776,0,12731236352,0
204,1771874645027,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,33.333335876464844,20,0,0,0,0,20,19.047618865966797,0,0,0,0,0,0,5.382080554962158,25769803776,0,12731236352,0
202,1771874645232,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,20,0,0,0,0,9.523809432983398,15.000000953674316,0,0,0,0,0,0,5.382080554962158,25769803776,0,12713951232,0
204,1771874645436,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,14.285715103149414,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,5.382080554962158,25769803776,0,12713017344,0
199,1771874645641,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,5.263157844543457,0,0,0,0,14.285715103149414,0,0,0,0,0,0,0,5.382080554962158,25769803776,0,12712558592,0
204,1771874645841,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,10,0,0,0,0,10,4.761904716491699,0,0,0,0,0,0,5.2958550453186035,25769803776,0,12711837696,0
204,1771874646046,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,23.809524536132813,9.523809432983398,0,4.761904716491699,0,23.809524536132813,15.000000953674316,0,0,0,0,0,4.761904716491699,5.2958550453186035,25769803776,0,12686065664,0
201,1771874646251,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,19.047618865966797,15.000000953674316,0,0,0,0,10,10,0,0,0,0,0,0,5.2958550453186035,25769803776,0,12631015424,0
201,1771874646453,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,52.38095474243164,35,0,0,0,0,30.000001907348633,25,0,0,0,0,0,0,5.2958550453186035,25769803776,0,12605014016,0
202,1771874646655,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,33.333335876464844,0,0,0,0,19.047618865966797,18.18181800842285,0,0,0,0,0,14.285715103149414,5.2958550453186035,25769803776,0,12605063168,0
201,1771874646859,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,15.000000953674316,0,0,0,0,5.263157844543457,5,0,0,0,0,0,0,4.971941947937012,25769803776,0,12606242816,0
201,1771874647061,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,35,0,0,0,0,23.809524536132813,20,0,0,0,0,0,5,4.971941947937012,25769803776,0,12606242816,0
203,1771874647264,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,26.3157901763916,19.047618865966797,0,0,0,0,14.285715103149414,5,0,0,0,0,0,0,4.971941947937012,25769803776,0,12563775488,0
204,1771874647468,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,22.72727394104004,10.526315689086914,0,0,0,0,5.263157844543457,4.761904716491699,0,0,0,0,0,0,4.971941947937012,25769803776,0,12563857408,0
203,1771874647674,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,14.285715103149414,0,0,0,0,19.047618865966797,5,0,0,0,0,0,0,4.971941947937012,25769803776,0,12564004864,0
204,1771874647878,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,20,0,0,0,0,5,0,0,0,0,0,0,4.761904716491699,5.308405876159668,25769803776,0,12644909056,0
204,1771874648083,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,14.285715103149414,0,0,0,0,14.285715103149414,5,0,0,0,0,0,0,5.308405876159668,25769803776,0,12644925440,0
204,1771874648288,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,20,0,0,0,0,4.761904716491699,13.636363983154297,0,0,0,0,0,0,5.308405876159668,25769803776,0,12645105664,0
201,1771874648493,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,9.523809432983398,0,0,0,0,5,0,0,0,0,0,0,0,5.308405876159668,25769803776,0,12644810752,0
204,1771874648696,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,30.000001907348633,0,0,0,0,10,5,0,0,0,0,0,0,5.308405876159668,25769803776,0,12645105664,0
203,1771874648901,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,19.047618865966797,5.263157844543457,0,0,0,0,15.000000953674316,0,0,0,0,0,0,0,4.950683116912842,25769803776,0,12561235968,0
