Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771876990224,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,NaN,0,0,0,0,0,50,50,0,0,0,0,0,0,8.378618240356445,25769803776,0,12554305536,0
200,1771876990225,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,50,50,0,0,0,0,NaN,0,0,0,0,0,0,0,8.378618240356445,25769803776,0,12555026432,0
201,1771876990426,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,25,30.000001907348633,0,0,0,0,20,5.263157844543457,0,0,0,0,0,0,8.378618240356445,25769803776,0,12554813440,0
200,1771876990628,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,26.3157901763916,0,0,0,0,25,15.000000953674316,0,0,0,0,0,0,8.378618240356445,25769803776,0,12540411904,0
199,1771876990829,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,75,75,5,0,0,0,60.000003814697266,61.904762268066406,0,0,0,0,0,4.761904716491699,6.13448429107666,25769803776,0,12545998848,0
204,1771876991029,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,55,76.19047546386719,0,0,0,0,65,50,0,0,0,0,0,5,6.13448429107666,25769803776,0,12558286848,0
200,1771876991234,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,75,73.68421173095703,4.761904716491699,0,0,0,70,65,0,0,0,0,0,0,6.13448429107666,25769803776,0,12663652352,0
203,1771876991435,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,47.36842346191406,35,0,0,0,0,25,25,0,0,0,0,0,0,6.13448429107666,25769803776,0,12665749504,0
202,1771876991638,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,61.904762268066406,52.38095474243164,0,0,0,0,45.45454788208008,52.38095474243164,0,0,0,0,0,0,6.13448429107666,25769803776,0,12653789184,0
204,1771876991841,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,47.36842346191406,47.619049072265625,0,0,0,0,36.842105865478516,35,0,0,0,0,0,0,6.6530914306640625,25769803776,0,12654329856,0
