Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771872958631,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,50,0,0,0,0,0,50,0,0,0,0,0,0,0,10.049737930297852,25769803776,0,11903238144,0
202,1771872958632,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,NaN,100,0,0,0,0,50,0,0,0,0,0,0,0,10.049737930297852,25769803776,0,11903975424,0
199,1771872958835,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,15.789472579956055,0,0,0,0,10.526315689086914,10,0,0,0,0,0,0,6.816060543060303,25769803776,0,11903746048,0
204,1771872959035,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,35,0,0,0,0,28.571430206298828,25,0,0,0,0,0,0,6.816060543060303,25769803776,0,11890049024,0
204,1771872959240,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,80,76.19047546386719,0,0,4.761904716491699,0,75,75,0,0,0,0,0,9.523809432983398,6.816060543060303,25769803776,0,11905417216,0
204,1771872959445,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,61.904762268066406,70,0,4.545454502105713,0,0,60.000003814697266,50,0,0,0,0,0,0,6.816060543060303,25769803776,0,12031836160,0
202,1771872959650,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,71.42857360839844,75,0,0,0,0,61.904762268066406,61.904762268066406,0,0,0,0,0,4.761904716491699,6.816060543060303,25769803776,0,12024397824,0
202,1771872959853,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,26.3157901763916,28.571430206298828,0,4.761904716491699,0,0,15.789472579956055,15.000000953674316,0,0,0,0,0,0,6.4893388748168945,25769803776,0,12023595008,0
200,1771872960057,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,47.619049072265625,45,0,0,0,0,35,28.571430206298828,0,0,0,0,0,0,6.4893388748168945,25769803776,0,12023595008,0
200,1771872960258,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,52.6315803527832,50,5,0,0,0,35,35,0,0,0,0,0,4.761904716491699,6.4893388748168945,25769803776,0,12103303168,0
204,1771872960459,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,60.000003814697266,45,14.285715103149414,0,4.761904716491699,0,40,31.57894515991211,0,0,0,0,0,0,6.4893388748168945,25769803776,0,12126453760,0
202,1771872960663,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,57.142860412597656,60.000003814697266,0,4.761904716491699,0,0,52.38095474243164,42.85714340209961,0,0,0,0,0,4.761904716491699,6.4893388748168945,25769803776,0,12114624512,0
202,1771872960867,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,55,40,0,0,0,0,33.333335876464844,20,0,0,0,0,0,0,7.0848798751831055,25769803776,0,12111314944,0
204,1771872961070,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,33.333335876464844,0,4.761904716491699,0,0,21.052631378173828,10,0,0,0,0,0,0,7.0848798751831055,25769803776,0,12092129280,0
203,1771872961275,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.85714340209961,35,0,0,0,0,20,14.285715103149414,0,0,0,0,0,0,7.0848798751831055,25769803776,0,12111216640,0
202,1771872961479,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,31.57894515991211,0,0,0,0,19.047618865966797,15.000000953674316,0,0,0,0,0,4.761904716491699,7.0848798751831055,25769803776,0,12111790080,0
204,1771872961683,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.105262756347656,40.90909194946289,0,0,0,0,21.052631378173828,20,0,0,0,0,0,0,7.0848798751831055,25769803776,0,12111790080,0
204,1771872961887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.85714340209961,35,0,0,0,0,23.809524536132813,15.000000953674316,0,0,0,0,0,0,7.009675025939941,25769803776,0,12111495168,0
200,1771872962093,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,50,45,0,0,0,0,33.333335876464844,25,0,0,0,0,0,0,7.009675025939941,25769803776,0,12063047680,0
201,1771872962293,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,47.619049072265625,36.842105865478516,0,0,0,0,30.000001907348633,20,0,0,0,0,0,0,7.009675025939941,25769803776,0,11960139776,0
204,1771872962496,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,52.6315803527832,42.85714340209961,5,0,0,0,42.105262756347656,42.85714340209961,0,0,0,0,0,0,7.009675025939941,25769803776,0,11957731328,0
202,1771872962701,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,35,4.761904716491699,0,0,0,23.809524536132813,15.000000953674316,0,0,0,0,0,5,7.009675025939941,25769803776,0,11957764096,0
201,1771872962904,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,30.000001907348633,0,0,0,0,25,20,0,0,0,0,0,9.523809432983398,6.484566688537598,25769803776,0,11956371456,0
204,1771872963106,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,36.842105865478516,0,0,0,0,40,23.809524536132813,0,0,0,0,0,0,6.484566688537598,25769803776,0,12004818944,0
200,1771872963311,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,33.333335876464844,33.333335876464844,0,0,0,0,23.809524536132813,10,0,0,0,0,0,0,6.484566688537598,25769803776,0,12003999744,0
200,1771872963512,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,47.36842346191406,55,5,0,0,0,36.842105865478516,40,0,0,0,0,0,0,6.484566688537598,25769803776,0,12005113856,0
201,1771872963714,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,47.619049072265625,47.619049072265625,0,0,0,0,42.85714340209961,35,0,0,0,0,0,0,6.484566688537598,25769803776,0,12004851712,0
202,1771872963916,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,36.842105865478516,15.789472579956055,0,0,0,0,28.571430206298828,10,0,0,0,0,0,0,6.603443622589111,25769803776,0,12004982784,0
203,1771872964119,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,35,0,0,0,0,26.3157901763916,10,0,0,0,0,0,4.761904716491699,6.603443622589111,25769803776,0,12035981312,0
201,1771872964323,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,38.095237731933594,25,0,0,0,0,15.000000953674316,14.285715103149414,0,0,0,0,0,0,6.603443622589111,25769803776,0,12036177920,0
