Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771889277528,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.4000000953674316,2.1999998092651367,40,40,3.4000000953674316,2.1999998092651367,2.1999998092651367,3.4000000953674316,2.1999998092651367,3.4000000953674316,3.4000000953674316,2.1999998092651367,0,100,0,0,0,0,0,50,0,0,0,0,0,0,10.336957931518555,25769803776,0,14144716800,0
200,1771889277529,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.4000000953674316,2.1999998092651367,40,40,3.4000000953674316,2.1999998092651367,2.1999998092651367,3.4000000953674316,2.1999998092651367,3.4000000953674316,3.4000000953674316,2.1999998092651367,100,0,0,0,0,0,NaN,0,0,0,0,0,0,0,10.336957931518555,25769803776,0,14144716800,0
203,1771889277730,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.4000000953674316,2.1999998092651367,40,40,3.4000000953674316,2.1999998092651367,2.1999998092651367,3.4000000953674316,2.1999998092651367,3.4000000953674316,3.4000000953674316,2.1999998092651367,30.000001907348633,23.809524536132813,0,0,0,0,14.285715103149414,5.263157844543457,0,0,0,0,0,0,10.336957931518555,25769803776,0,14144716800,0
201,1771889277934,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.4000000953674316,2.1999998092651367,40,40,3.4000000953674316,2.1999998092651367,2.1999998092651367,3.4000000953674316,2.1999998092651367,3.4000000953674316,3.4000000953674316,2.1999998092651367,40,27.77777862548828,0,0,0,0,15.000000953674316,5,0,0,0,0,0,0,6.6241374015808105,25769803776,0,14144716800,0
203,1771889278136,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.4000000953674316,2.1999998092651367,40,40,3.4000000953674316,2.1999998092651367,2.1999998092651367,3.4000000953674316,2.1999998092651367,3.4000000953674316,3.4000000953674316,2.1999998092651367,75,66.66667175292969,4.761904716491699,9.523809432983398,0,0,55,47.619049072265625,0,0,0,0,0,9.523809432983398,6.6241374015808105,25769803776,0,14045003776,0
200,1771889278340,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,61.904762268066406,75,0,0,0,0,71.42857360839844,75,0,0,0,0,0,0,6.6241374015808105,25769803776,0,14049738752,0
204,1771889278541,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,85,85,4.761904716491699,0,0,0,78.94737243652344,76.19047546386719,0,0,0,0,0,4.761904716491699,6.6241374015808105,25769803776,0,14167080960,0
201,1771889278746,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,36.842105865478516,38.095237731933594,0,0,0,0,23.809524536132813,20,0,0,0,0,0,0,6.6241374015808105,25769803776,0,14173028352,0
202,1771889278948,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,38.095237731933594,25,0,0,0,0,25,15.000000953674316,0,0,0,0,0,0,6.492504596710205,25769803776,0,14173028352,0
203,1771889279152,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.85714340209961,42.85714340209961,0,0,0,0,30.000001907348633,28.571430206298828,0,0,0,0,0,0,6.492504596710205,25769803776,0,14157234176,0
204,1771889279356,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,35,5,0,0,0,20,10.526315689086914,0,0,0,0,0,5,6.492504596710205,25769803776,0,14249607168,0
