Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771881019884,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,50,50,0,0,0,0,0,50,0,0,0,0,0,0,4.789585113525391,25769803776,0,12969558016,0
201,1771881019885,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,NaN,0,0,0,0,0,0,100,0,0,0,0,0,0,4.789585113525391,25769803776,0,12969558016,0
203,1771881020086,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.789472579956055,14.285715103149414,0,0,0,0,5,0,0,0,0,0,0,0,4.789585113525391,25769803776,0,12969558016,0
202,1771881020290,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,63.6363639831543,63.15789031982422,4.761904716491699,0,0,0,55,45,0,0,0,0,0,9.090909004211426,4.789585113525391,25769803776,0,12969558016,0
204,1771881020494,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,42.85714340209961,0,0,0,0,85.71428680419922,35,0,0,0,0,0,0,4.789585113525391,25769803776,0,12998246400,0
204,1771881020698,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,68.42105102539063,80,0,0,0,0,65,66.66667175292969,0,0,0,0,0,0,4.789585113525391,25769803776,0,13112295424,0
203,1771881020904,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,52.38095474243164,45,0,0,0,0,55,28.571430206298828,0,0,0,0,0,5,4.889438152313232,25769803776,0,13117014016,0
204,1771881021108,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,38.095237731933594,30.000001907348633,0,0,0,0,23.809524536132813,15.000000953674316,0,0,0,0,0,0,4.889438152313232,25769803776,0,13107871744,0
204,1771881021313,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.4000000953674316,40,40,40,3.4000000953674316,2.1999998092651367,40,40,40,40,3.4000000953674316,2.1999998092651367,60.000003814697266,61.904762268066406,5,4.761904716491699,0,0,50,42.85714340209961,0,0,0,0,0,4.761904716491699,4.889438152313232,25769803776,0,13234061312,0
201,1771881021518,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.4000000953674316,40,40,40,3.4000000953674316,2.1999998092651367,40,40,40,40,3.4000000953674316,2.1999998092651367,20,14.285715103149414,0,0,0,0,10,5.263157844543457,0,0,0,0,0,0,4.889438152313232,25769803776,0,13234159616,0
