Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771878635418,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,50,NaN,0,0,0,0,50,0,0,0,0,0,0,0,9.900982856750488,25769803776,0,12670091264,0
201,1771878635418,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,NaN,0,0,0,0,0,NaN,0,0,0,0,0,0,0,9.900982856750488,25769803776,0,12670091264,0
204,1771878635620,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,28.571430206298828,0,0,0,0,10,10,0,0,0,0,0,0,9.900982856750488,25769803776,0,12670091264,0
200,1771878635825,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,52.38095474243164,47.36842346191406,0,0,9.523809432983398,0,38.095237731933594,30.000001907348633,0,0,0,0,0,4.761904716491699,6.430391788482666,25769803776,0,12670091264,0
200,1771878636026,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,78.94737243652344,85,0,0,0,0,85,76.19047546386719,0,0,0,0,0,0,6.430391788482666,25769803776,0,12666175488,0
204,1771878636227,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,76.19047546386719,70,0,0,0,0,66.66667175292969,60.000003814697266,0,0,0,0,0,0,6.430391788482666,25769803776,0,12776964096,0
203,1771878636432,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,75,76.19047546386719,4.545454502105713,4.761904716491699,0,0,75,68.42105102539063,0,0,0,0,0,9.523809432983398,6.430391788482666,25769803776,0,12785598464,0
203,1771878636636,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,33.333335876464844,28.571430206298828,0,0,0,0,15.000000953674316,13.636363983154297,0,0,0,0,0,0,6.430391788482666,25769803776,0,12785762304,0
203,1771878636841,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,47.36842346191406,0,0,0,0,40,35,0,0,0,0,0,0,6.664920806884766,25769803776,0,12773785600,0
202,1771878637045,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,40.90909194946289,0,0,0,0,25,20,0,0,0,0,0,0,6.664920806884766,25769803776,0,12773720064,0
202,1771878637248,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,57.894737243652344,55,10,4.761904716491699,4.761904716491699,0,57.142860412597656,47.619049072265625,0,0,0,0,0,5,6.664920806884766,25769803776,0,12853854208,0
201,1771878637451,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.85714340209961,42.105262756347656,0,0,0,0,25,20,0,0,0,0,0,0,6.664920806884766,25769803776,0,12837322752,0
201,1771878637654,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,50,35,0,0,0,0,35,25,0,0,0,0,0,0,6.664920806884766,25769803776,0,12828524544,0
204,1771878637856,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,40,0,0,0,0,15.000000953674316,15.000000953674316,0,0,0,0,0,0,7.344912528991699,25769803776,0,12807290880,0
203,1771878638062,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,0,0,0,0,20,15.000000953674316,0,0,0,0,0,0,7.344912528991699,25769803776,0,12797984768,0
203,1771878638266,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,35,0,0,0,0,15.000000953674316,15.000000953674316,0,0,0,0,0,0,7.344912528991699,25769803776,0,12825083904,0
203,1771878638470,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,33.333335876464844,28.571430206298828,0,0,0,0,33.333335876464844,18.18181800842285,0,0,0,0,0,0,7.344912528991699,25769803776,0,12825083904,0
204,1771878638674,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,0,0,0,0,20,15.000000953674316,0,0,0,0,0,0,7.344912528991699,25769803776,0,12824625152,0
202,1771878638879,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.105262756347656,40,0,0,0,0,35,21.052631378173828,0,0,0,0,0,0,6.95879602432251,25769803776,0,12807634944,0
203,1771878639083,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,61.904762268066406,55,0,0,0,0,42.85714340209961,42.85714340209961,0,0,0,0,0,0,6.95879602432251,25769803776,0,12801818624,0
202,1771878639287,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,47.619049072265625,35,5,0,0,0,30.000001907348633,30.000001907348633,0,0,0,0,0,14.285715103149414,6.95879602432251,25769803776,0,12802572288,0
202,1771878639489,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,30.000001907348633,0,0,0,0,36.842105865478516,19.047618865966797,0,0,0,0,0,0,6.95879602432251,25769803776,0,12713050112,0
199,1771878639693,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.105262756347656,42.85714340209961,0,0,0,0,28.571430206298828,20,0,0,0,0,0,5,6.95879602432251,25769803776,0,12710264832,0
201,1771878639894,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,38.095237731933594,26.3157901763916,0,0,0,0,30.000001907348633,10.526315689086914,0,0,0,0,0,0,6.357544422149658,25769803776,0,12667011072,0
202,1771878640096,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,31.57894515991211,38.095237731933594,0,4.545454502105713,0,0,25,25,0,0,0,0,0,4.761904716491699,6.357544422149658,25769803776,0,12758335488,0
203,1771878640299,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.85714340209961,30.000001907348633,0,0,0,0,20,14.285715103149414,0,0,0,0,0,0,6.357544422149658,25769803776,0,12759924736,0
203,1771878640504,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,21.052631378173828,0,0,0,0,15.000000953674316,10,0,0,0,0,0,0,6.357544422149658,25769803776,0,12759351296,0
199,1771878640708,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,25,0,0,0,0,23.809524536132813,14.285715103149414,0,0,0,0,0,0,6.357544422149658,25769803776,0,12758581248,0
201,1771878640908,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,45,38.095237731933594,4.761904716491699,0,0,0,25,26.3157901763916,0,0,0,0,0,5,6.76724910736084,25769803776,0,12758581248,0
201,1771878641110,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,31.57894515991211,15.000000953674316,0,0,0,0,25,10,0,0,0,0,0,0,6.76724910736084,25769803776,0,12782419968,0
201,1771878641312,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,0,0,0,0,30.000001907348633,20,0,0,0,0,0,0,6.76724910736084,25769803776,0,12781371392,0
202,1771878641514,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,25,0,0,0,0,19.047618865966797,14.285715103149414,0,0,0,0,0,0,6.76724910736084,25769803776,0,12781600768,0
200,1771878641717,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,86.36363983154297,90,4.761904716491699,0,0,0,84.21052551269531,85,0,0,0,0,0,9.523809432983398,6.76724910736084,25769803776,0,12781764608,0
203,1771878641918,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,73.68421173095703,70,0,0,0,0,70,66.66667175292969,0,0,0,0,0,0,6.3910675048828125,25769803776,0,12851478528,0
