Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771869409966,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,0,50,0,0,0,0,0,0,0,0,0,0,0,0,4.806776523590088,25769803776,0,11642535936,0
203,1771869409966,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4.806776523590088,25769803776,0,11643404288,0
200,1771869410171,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,19.047618865966797,4.545454502105713,0,0,0,5,5,0,0,0,0,0,0,4.806776523590088,25769803776,0,11643256832,0
202,1771869410372,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,60.000003814697266,68.42105102539063,0,0,0,0,45,42.85714340209961,0,0,0,0,0,0,4.806776523590088,25769803776,0,11644026880,0
203,1771869410574,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,38.095237731933594,0,0,0,0,90.47618865966797,38.095237731933594,0,0,0,0,0,0,4.806776523590088,25769803776,0,11655135232,0
204,1771869410778,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,70,75,0,0,0,0,60.000003814697266,63.15789031982422,0,0,0,0,0,0,4.708587169647217,25769803776,0,11774607360,0
200,1771869410983,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,10,0,0,0,0,10,0,0,0,0,0,0,0,4.708587169647217,25769803776,0,11774476288,0
200,1771869411185,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,19.047618865966797,15.000000953674316,0,0,0,0,5,9.090909004211426,0,0,0,0,0,4.761904716491699,4.708587169647217,25769803776,0,11774722048,0
203,1771869411386,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,47.36842346191406,45,0,0,0,0,40,21.052631378173828,0,0,0,0,0,0,4.708587169647217,25769803776,0,11772608512,0
204,1771869411589,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,15.000000953674316,0,0,4.761904716491699,0,10,15.000000953674316,0,0,0,0,0,5,4.708587169647217,25769803776,0,11772952576,0
204,1771869411795,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,35,0,0,0,0,27.272727966308594,19.047618865966797,0,0,0,0,0,0,5.295899391174316,25769803776,0,11755012096,0
200,1771869412000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,19.047618865966797,0,0,0,0,10,9.523809432983398,0,0,0,0,0,0,5.295899391174316,25769803776,0,11755012096,0
204,1771869412201,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,19.047618865966797,0,0,0,0,15.000000953674316,5.263157844543457,0,0,0,0,0,4.761904716491699,5.295899391174316,25769803776,0,11755012096,0
202,1771869412406,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,10,0,0,0,0,5,4.761904716491699,0,0,0,0,0,0,5.295899391174316,25769803776,0,11755012096,0
204,1771869412610,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,19.047618865966797,5.263157844543457,0,0,0,0,4.761904716491699,0,0,0,0,0,0,4.761904716491699,5.295899391174316,25769803776,0,11852775424,0
201,1771869412815,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,13.636363983154297,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,4.906820774078369,25769803776,0,11852824576,0
204,1771869413017,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,10,5.263157844543457,0,0,0,0,5,0,0,0,0,0,0,0,4.906820774078369,25769803776,0,11852824576,0
199,1771869413222,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,28.571430206298828,28.571430206298828,4.761904716491699,0,0,0,15.000000953674316,19.047618865966797,0,0,0,0,0,0,4.906820774078369,25769803776,0,11852824576,0
202,1771869413423,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,5.263157844543457,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,4.906820774078369,25769803776,0,11852824576,0
204,1771869413626,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,55,52.38095474243164,5,0,0,0,40,21.052631378173828,0,0,0,0,0,0,4.906820774078369,25769803776,0,11841191936,0
203,1771869413830,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,70,80,0,0,0,0,60.000003814697266,47.619049072265625,0,0,0,0,0,0,4.797069549560547,25769803776,0,11861213184,0
202,1771869414034,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,55,57.142860412597656,0,0,0,0,52.38095474243164,45,0,0,0,0,0,0,4.797069549560547,25769803776,0,11902369792,0
204,1771869414238,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,31.57894515991211,25,0,0,0,0,0,0,4.797069549560547,25769803776,0,11902730240,0
204,1771869414442,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,42.85714340209961,30.000001907348633,0,0,0,0,31.81818199157715,23.809524536132813,0,0,0,0,0,0,4.797069549560547,25769803776,0,11842912256,0
203,1771869414648,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,26.3157901763916,20,5,4.761904716491699,0,0,26.3157901763916,10,0,0,0,0,0,4.761904716491699,4.797069549560547,25769803776,0,11887656960,0
202,1771869414852,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,50,45.45454788208008,0,0,0,0,33.333335876464844,19.047618865966797,0,0,0,0,0,0,4.949603080749512,25769803776,0,11884134400,0
201,1771869415055,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,15.000000953674316,5.263157844543457,0,0,0,0,9.523809432983398,9.523809432983398,0,0,0,0,0,0,4.949603080749512,25769803776,0,11869962240,0
201,1771869415257,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,20,23.809524536132813,0,0,4.761904716491699,0,10.526315689086914,10.526315689086914,0,0,0,0,0,4.761904716491699,4.949603080749512,25769803776,0,11870765056,0
