Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771875571000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,100,50,0,0,0,0,50,0,0,0,0,0,0,0,7.3756103515625,25769803776,0,12467159040,0
200,1771875571000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,100,100,0,0,0,0,NaN,0,0,0,0,0,0,0,7.3756103515625,25769803776,0,12467159040,0
202,1771875571202,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,35,25,0,0,0,0,15.000000953674316,10,0,0,0,0,0,0,7.3756103515625,25769803776,0,12467159040,0
203,1771875571404,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,30.000001907348633,15.789472579956055,0,0,0,0,22.72727394104004,0,0,0,0,0,0,0,7.3756103515625,25769803776,0,12467159040,0
200,1771875571609,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,60.000003814697266,59.09090805053711,0,0,4.761904716491699,0,42.105262756347656,40.90909194946289,0,0,0,0,0,5,7.3756103515625,25769803776,0,12444975104,0
201,1771875571810,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,65,70,0,0,0,0,70,73.68421173095703,0,0,0,0,0,0,6.9094624519348145,25769803776,0,12468027392,0
203,1771875572012,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,76.19047546386719,78.94737243652344,0,0,0,0,60.000003814697266,65,0,0,0,0,0,0,6.9094624519348145,25769803776,0,12582879232,0
202,1771875572216,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,89.47368621826172,85.71428680419922,9.090909004211426,4.761904716491699,0,0,85,85.71428680419922,0,0,0,0,0,9.523809432983398,6.9094624519348145,25769803776,0,12590186496,0
204,1771875572419,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,33.333335876464844,30.000001907348633,0,0,0,0,28.571430206298828,20,0,0,0,0,0,0,6.9094624519348145,25769803776,0,12590415872,0
204,1771875572624,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,47.619049072265625,45,0,0,0,0,40,33.333335876464844,0,0,0,0,0,0,6.9094624519348145,25769803776,0,12569624576,0
