Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1771882439734,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,66.66667175292969,0,0,0,0,0,0,0,0,0,0,0,0,0,10.694121360778809,25769803776,0,13585661952,0
203,1771882439734,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,NaN,100,0,0,0,0,0,0,0,0,0,0,0,0,10.694121360778809,25769803776,0,13585661952,0
204,1771882439938,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,25,0,0,0,0,23.809524536132813,9.523809432983398,0,0,0,0,0,0,7.084294319152832,25769803776,0,13585661952,0
201,1771882440143,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,23.809524536132813,19.047618865966797,0,4.545454502105713,0,0,25,5.263157844543457,0,0,0,0,0,4.761904716491699,7.084294319152832,25769803776,0,13585661952,0
202,1771882440345,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,31.57894515991211,20,0,0,0,0,25,9.523809432983398,0,0,0,0,0,0,7.084294319152832,25769803776,0,13534117888,0
204,1771882440548,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,61.904762268066406,55,0,0,0,0,40,40,0,0,0,0,0,4.761904716491699,7.084294319152832,25769803776,0,13540409344,0
201,1771882440752,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,70,71.42857360839844,4.761904716491699,0,0,0,66.66667175292969,70,0,0,0,0,0,0,7.084294319152832,25769803776,0,13555449856,0
204,1771882440955,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,65,75,0,0,0,0,55,60.000003814697266,0,0,0,0,0,0,6.48348331451416,25769803776,0,13671497728,0
202,1771882441159,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,60.000003814697266,60.000003814697266,4.761904716491699,0,0,0,55,47.619049072265625,0,0,0,0,0,0,6.48348331451416,25769803776,0,13671497728,0
202,1771882441363,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,40,40,40,40,40,40,40,40,40,40,40,35,0,0,0,0,20,10,0,0,0,0,0,0,6.48348331451416,25769803776,0,13674446848,0
